Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase-1-Lot,Chrome 113.0.0.0,,,2023-05-18 11:25:07,2023-05-18 11:27:36,2m - 28.346s,ERROR
,,,,,,,
Test Cases/Login_Select Database,Chrome 113.0.0.0,,,2023-05-18 11:25:08,2023-05-18 11:25:39,30.782s,PASSED
"openBrowser(""https://test.lablogs.co/#/login"")",Chrome 113.0.0.0,,,2023-05-18 11:25:10,2023-05-18 11:25:23,12.768s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-18 11:25:23,2023-05-18 11:25:23,0.471s,PASSED
"setText(findTestObject(""Login_SelectDatabase/input_Sign in to your account_ng-untouched _b61fc2""), findTestData(""Login"").getValue(""UserName"", 1))",Chrome 113.0.0.0,,,2023-05-18 11:25:23,2023-05-18 11:25:28,4.651s,PASSED
"setEncryptedText(findTestObject(""Login_SelectDatabase/input_Email_ng-touched ng-dirty ng-valid""), findTestData(""Login"").getValue(""Password"", 1))",Chrome 113.0.0.0,,,2023-05-18 11:25:28,2023-05-18 11:25:29,1.163s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_SIGN IN""))",Chrome 113.0.0.0,,,2023-05-18 11:25:29,2023-05-18 11:25:31,1.857s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-18 11:25:31,2023-05-18 11:25:36,5.123s,PASSED
d = getWebDriver(),Chrome 113.0.0.0,,,2023-05-18 11:25:36,2023-05-18 11:25:36,0.051s,PASSED
"b = d.findElements(By.xpath(""//p[@class='card-text mb-0']""))",Chrome 113.0.0.0,,,2023-05-18 11:25:36,2023-05-18 11:25:37,0.578s,PASSED
r = b.size(),Chrome 113.0.0.0,,,2023-05-18 11:25:37,2023-05-18 11:25:37,0.002s,PASSED
println(r),Chrome 113.0.0.0,,,2023-05-18 11:25:37,2023-05-18 11:25:37,0.010s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-18 11:25:37,2023-05-18 11:25:37,0.001s,PASSED
fis = new java.io.FileInputStream(C://ELL//Automation//Excel//DataBase Selection.xlsx),Chrome 113.0.0.0,,,2023-05-18 11:25:37,2023-05-18 11:25:37,0.038s,PASSED
k = 1,Chrome 113.0.0.0,,,2023-05-18 11:25:37,2023-05-18 11:25:37,0.003s,PASSED
wb = new org.apache.poi.xssf.usermodel.XSSFWorkbook(fis),Chrome 113.0.0.0,,,2023-05-18 11:25:37,2023-05-18 11:25:37,0.477s,PASSED
"s = wb.getSheet(""Select Database"")",Chrome 113.0.0.0,,,2023-05-18 11:25:37,2023-05-18 11:25:37,0.033s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-18 11:25:37,2023-05-18 11:25:37,0.002s,PASSED
fos = new java.io.FileOutputStream(C://ELL//Automation//Excel//DataBase Selection.xlsx),Chrome 113.0.0.0,,,2023-05-18 11:25:37,2023-05-18 11:25:37,0.038s,PASSED
wb.write(fos),Chrome 113.0.0.0,,,2023-05-18 11:25:37,2023-05-18 11:25:37,0.315s,PASSED
"P1 = findTestData(""Select_Database"").getValue(""Database"", 1)",Chrome 113.0.0.0,,,2023-05-18 11:25:37,2023-05-18 11:25:38,0.280s,PASSED
out.println(P1),Chrome 113.0.0.0,,,2023-05-18 11:25:38,2023-05-18 11:25:38,0.094s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-18 11:25:38,2023-05-18 11:25:38,0.007s,PASSED
"out.print(""good"")",Chrome 113.0.0.0,,,2023-05-18 11:25:38,2023-05-18 11:25:38,0.022s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_Use Selected Database""))",Chrome 113.0.0.0,,,2023-05-18 11:25:38,2023-05-18 11:25:39,0.978s,PASSED
,,,,,,,
Test Cases/Site creation - Suite,Chrome 113.0.0.0,,,2023-05-18 11:25:39,2023-05-18 11:25:48,9.345s,FAILED
delay(5),Chrome 113.0.0.0,,,2023-05-18 11:25:42,2023-05-18 11:25:47,5.024s,PASSED
"click(findTestObject(""ELL Menu/Select_MenuIcon""))",Chrome 113.0.0.0,,,2023-05-18 11:25:47,2023-05-18 11:25:48,0.779s,FAILED
,,,,,,,
Test Cases/Dept-Units creation - Suite,Chrome 113.0.0.0,,,2023-05-18 11:25:48,2023-05-18 11:26:24,35.309s,FAILED
driver = getWebDriver(),Chrome 113.0.0.0,,,2023-05-18 11:25:52,2023-05-18 11:25:52,0.005s,PASSED
actions = sendKeys(HOME).perform(),Chrome 113.0.0.0,,,2023-05-18 11:25:52,2023-05-18 11:25:52,0.120s,PASSED
