Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase-1-Lot,Chrome 113.0.0.0,,,2023-05-18 11:30:39,2023-05-18 11:41:20,10m - 41.298s,PASSED
,,,,,,,
Test Cases/Login_Select Database,Chrome 113.0.0.0,,,2023-05-18 11:30:40,2023-05-18 11:31:14,33.832s,PASSED
"openBrowser(""https://test.lablogs.co/#/login"")",Chrome 113.0.0.0,,,2023-05-18 11:30:46,2023-05-18 11:30:58,11.698s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-18 11:30:58,2023-05-18 11:30:58,0.294s,PASSED
"setText(findTestObject(""Login_SelectDatabase/input_Sign in to your account_ng-untouched _b61fc2""), findTestData(""Login"").getValue(""UserName"", 1))",Chrome 113.0.0.0,,,2023-05-18 11:30:58,2023-05-18 11:31:02,4.212s,PASSED
"setEncryptedText(findTestObject(""Login_SelectDatabase/input_Email_ng-touched ng-dirty ng-valid""), findTestData(""Login"").getValue(""Password"", 1))",Chrome 113.0.0.0,,,2023-05-18 11:31:02,2023-05-18 11:31:03,0.995s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_SIGN IN""))",Chrome 113.0.0.0,,,2023-05-18 11:31:03,2023-05-18 11:31:04,0.845s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-18 11:31:04,2023-05-18 11:31:09,5.079s,PASSED
d = getWebDriver(),Chrome 113.0.0.0,,,2023-05-18 11:31:09,2023-05-18 11:31:09,0.044s,PASSED
"b = d.findElements(By.xpath(""//p[@class='card-text mb-0']""))",Chrome 113.0.0.0,,,2023-05-18 11:31:09,2023-05-18 11:31:11,1.523s,PASSED
r = b.size(),Chrome 113.0.0.0,,,2023-05-18 11:31:11,2023-05-18 11:31:11,0.001s,PASSED
println(r),Chrome 113.0.0.0,,,2023-05-18 11:31:11,2023-05-18 11:31:11,0.012s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-18 11:31:11,2023-05-18 11:31:11,0.244s,PASSED
fis = new java.io.FileInputStream(C://ELL//Automation//Excel//DataBase Selection.xlsx),Chrome 113.0.0.0,,,2023-05-18 11:31:11,2023-05-18 11:31:11,0.037s,PASSED
k = 1,Chrome 113.0.0.0,,,2023-05-18 11:31:11,2023-05-18 11:31:11,0.002s,PASSED
wb = new org.apache.poi.xssf.usermodel.XSSFWorkbook(fis),Chrome 113.0.0.0,,,2023-05-18 11:31:11,2023-05-18 11:31:12,0.528s,PASSED
"s = wb.getSheet(""Select Database"")",Chrome 113.0.0.0,,,2023-05-18 11:31:12,2023-05-18 11:31:12,0.004s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-18 11:31:12,2023-05-18 11:31:12,0.404s,PASSED
fos = new java.io.FileOutputStream(C://ELL//Automation//Excel//DataBase Selection.xlsx),Chrome 113.0.0.0,,,2023-05-18 11:31:12,2023-05-18 11:31:12,0.018s,PASSED
wb.write(fos),Chrome 113.0.0.0,,,2023-05-18 11:31:12,2023-05-18 11:31:12,0.284s,PASSED
"P1 = findTestData(""Select_Database"").getValue(""Database"", 1)",Chrome 113.0.0.0,,,2023-05-18 11:31:12,2023-05-18 11:31:12,0.190s,PASSED
out.println(P1),Chrome 113.0.0.0,,,2023-05-18 11:31:12,2023-05-18 11:31:12,0.001s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-18 11:31:12,2023-05-18 11:31:13,0.338s,PASSED
"out.print(""good"")",Chrome 113.0.0.0,,,2023-05-18 11:31:13,2023-05-18 11:31:13,0.006s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_Use Selected Database""))",Chrome 113.0.0.0,,,2023-05-18 11:31:13,2023-05-18 11:31:14,0.828s,PASSED
,,,,,,,
Test Cases/Site creation - Suite,Chrome 113.0.0.0,,,2023-05-18 11:31:14,2023-05-18 11:32:36,1m - 22.410s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-18 11:31:19,2023-05-18 11:31:24,5.020s,PASSED
"click(findTestObject(""ELL Menu/Select_MenuIcon""))",Chrome 113.0.0.0,,,2023-05-18 11:31:24,2023-05-18 11:31:24,0.577s,PASSED
"click(findTestObject(""ELL Menu/a_ADMINISTRATION""))",Chrome 113.0.0.0,,,2023-05-18 11:31:24,2023-05-18 11:31:25,0.927s,PASSED
"click(findTestObject(""Site creation/button_Add Site""))",Chrome 113.0.0.0,,,2023-05-18 11:31:25,2023-05-18 11:31:28,2.875s,PASSED
"click(findTestObject(""Site creation/input_Site Name""))",Chrome 113.0.0.0,,,2023-05-18 11:31:28,2023-05-18 11:31:29,0.561s,PASSED
dateFormat = new java.text.SimpleDateFormat(yyyy/dd/MM HH:mm:ss),Chrome 113.0.0.0,,,2023-05-18 11:31:29,2023-05-18 11:31:29,0.076s,PASSED
date = new java.util.Date(),Chrome 113.0.0.0,,,2023-05-18 11:31:29,2023-05-18 11:31:29,0.051s,PASSED
a = dateFormat.format(date),Chrome 113.0.0.0,,,2023-05-18 11:31:29,2023-05-18 11:31:29,0.027s,PASSED
println(a),Chrome 113.0.0.0,,,2023-05-18 11:31:29,2023-05-18 11:31:29,0.001s,PASSED
"b = "" - """,Chrome 113.0.0.0,,,2023-05-18 11:31:29,2023-05-18 11:31:29,0.001s,PASSED
"Site = findTestData(""Site Data"").getValue(""Site Name"", 1) + b + a",Chrome 113.0.0.0,,,2023-05-18 11:31:29,2023-05-18 11:31:29,0.105s,PASSED
println(Site),Chrome 113.0.0.0,,,2023-05-18 11:31:29,2023-05-18 11:31:29,0.001s,PASSED
logInfo(Site),Chrome 113.0.0.0,,,2023-05-18 11:31:29,2023-05-18 11:31:29,0.039s,PASSED
"Excel.writeData(""ELL_Departments & Units"", ""Add D&U"", 1, 1, Site)",Chrome 113.0.0.0,,,2023-05-18 11:31:29,2023-05-18 11:31:29,0.374s,PASSED
"setText(findTestObject(""Site creation/input_Site Name""), Site)",Chrome 113.0.0.0,,,2023-05-18 11:31:29,2023-05-18 11:31:30,1.092s,PASSED
"s1 = getAttribute(findTestObject(""Site creation/input_Site Name""), ""value"")",Chrome 113.0.0.0,,,2023-05-18 11:31:30,2023-05-18 11:31:31,0.480s,PASSED
println(s1),Chrome 113.0.0.0,,,2023-05-18 11:31:31,2023-05-18 11:31:31,0.001s,PASSED
"verifyEqual(Site, s1)",Chrome 113.0.0.0,,,2023-05-18 11:31:31,2023-05-18 11:31:31,0.028s,PASSED
"A1 = findTestData(""Site Data"").getValue(""Address"", 1)",Chrome 113.0.0.0,,,2023-05-18 11:31:31,2023-05-18 11:31:31,0.097s,PASSED
"setText(findTestObject(""Site creation/input_Address""), A1)",Chrome 113.0.0.0,,,2023-05-18 11:31:31,2023-05-18 11:31:32,1.048s,PASSED
"A2 = getAttribute(findTestObject(""Site creation/input_Address""), ""value"")",Chrome 113.0.0.0,,,2023-05-18 11:31:32,2023-05-18 11:31:32,0.468s,PASSED
println(A2),Chrome 113.0.0.0,,,2023-05-18 11:31:32,2023-05-18 11:31:32,0.001s,PASSED
"verifyEqual(A1, A2)",Chrome 113.0.0.0,,,2023-05-18 11:31:32,2023-05-18 11:31:32,0.004s,PASSED
"c1 = findTestData(""Site Data"").getValue(""City"", 1)",Chrome 113.0.0.0,,,2023-05-18 11:31:32,2023-05-18 11:31:33,0.145s,PASSED
"setText(findTestObject(""Site creation/input_City_city""), c1)",Chrome 113.0.0.0,,,2023-05-18 11:31:33,2023-05-18 11:31:34,0.988s,PASSED
"c2 = getAttribute(findTestObject(""Site creation/input_City_city""), ""value"")",Chrome 113.0.0.0,,,2023-05-18 11:31:34,2023-05-18 11:31:34,0.431s,PASSED
"verifyEqual(c1, c2)",Chrome 113.0.0.0,,,2023-05-18 11:31:34,2023-05-18 11:31:34,0.004s,PASSED
"S5 = findTestData(""Site Data"").getValue(""State"", 1)",Chrome 113.0.0.0,,,2023-05-18 11:31:34,2023-05-18 11:31:34,0.091s,PASSED
"setText(findTestObject(""Site creation/input_State_state""), S5)",Chrome 113.0.0.0,,,2023-05-18 11:31:34,2023-05-18 11:31:35,0.895s,PASSED
"S6 = getAttribute(findTestObject(""Site creation/input_State_state""), ""value"")",Chrome 113.0.0.0,,,2023-05-18 11:31:35,2023-05-18 11:31:35,0.408s,PASSED
"verifyEqual(S5, S6)",Chrome 113.0.0.0,,,2023-05-18 11:31:35,2023-05-18 11:31:35,0.003s,PASSED
"z1 = findTestData(""Site Data"").getValue(""Zip"", 1)",Chrome 113.0.0.0,,,2023-05-18 11:31:35,2023-05-18 11:31:36,0.097s,PASSED
"setText(findTestObject(""Site creation/input_Zip_zip""), z1)",Chrome 113.0.0.0,,,2023-05-18 11:31:36,2023-05-18 11:31:36,0.885s,PASSED
"z2 = getAttribute(findTestObject(""Site creation/input_Zip_zip""), ""value"")",Chrome 113.0.0.0,,,2023-05-18 11:31:36,2023-05-18 11:31:37,0.455s,PASSED
"verifyEqual(z1, z2)",Chrome 113.0.0.0,,,2023-05-18 11:31:37,2023-05-18 11:31:37,0.003s,PASSED
"selectOptionByLabel(findTestObject(""Site creation/select_country""), findTestData(""Site Data"").getValue(""Country"", 1), true)",Chrome 113.0.0.0,,,2023-05-18 11:31:37,2023-05-18 11:31:45,8.360s,PASSED
"verifyOptionPresentByLabel(findTestObject(""Site creation/select_country""), findTestData(""Site Data"").getValue(""Country"", 1), false, 0)",Chrome 113.0.0.0,,,2023-05-18 11:31:45,2023-05-18 11:31:49,3.807s,PASSED
"setText(findTestObject(""Site creation/input_Phone_phone""), findTestData(""Site Data"").getValue(""Phone"", 1))",Chrome 113.0.0.0,,,2023-05-18 11:31:49,2023-05-18 11:31:50,1.013s,PASSED
"selectOptionByLabel(findTestObject(""Site creation/select_Timezone""), findTestData(""Site Data"").getValue(""Timezone"", 1), true)",Chrome 113.0.0.0,,,2023-05-18 11:31:50,2023-05-18 11:32:10,19.758s,PASSED
