Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase-1-Lot,Chrome 113.0.0.0,,,2023-05-22 11:19:33,2023-05-22 11:29:39,10m - 5.645s,PASSED
,,,,,,,
Test Cases/Login_Select Database,Chrome 113.0.0.0,,,2023-05-22 11:19:34,2023-05-22 11:20:02,28.355s,PASSED
"openBrowser(""https://test.lablogs.co/#/login"")",Chrome 113.0.0.0,,,2023-05-22 11:19:36,2023-05-22 11:19:48,11.538s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-22 11:19:48,2023-05-22 11:19:48,0.252s,PASSED
"setText(findTestObject(""Login_SelectDatabase/input_Sign in to your account_ng-untouched _b61fc2""), findTestData(""Login"").getValue(""UserName"", 1))",Chrome 113.0.0.0,,,2023-05-22 11:19:48,2023-05-22 11:19:51,3.030s,PASSED
"setEncryptedText(findTestObject(""Login_SelectDatabase/input_Email_ng-touched ng-dirty ng-valid""), findTestData(""Login"").getValue(""Password"", 1))",Chrome 113.0.0.0,,,2023-05-22 11:19:51,2023-05-22 11:19:52,1.163s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_SIGN IN""))",Chrome 113.0.0.0,,,2023-05-22 11:19:52,2023-05-22 11:19:53,0.772s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-22 11:19:53,2023-05-22 11:19:58,5.062s,PASSED
d = getWebDriver(),Chrome 113.0.0.0,,,2023-05-22 11:19:58,2023-05-22 11:19:58,0.023s,PASSED
"b = d.findElements(By.xpath(""//p[@class='card-text mb-0']""))",Chrome 113.0.0.0,,,2023-05-22 11:19:58,2023-05-22 11:19:58,0.326s,PASSED
r = b.size(),Chrome 113.0.0.0,,,2023-05-22 11:19:58,2023-05-22 11:19:58,0.002s,PASSED
println(r),Chrome 113.0.0.0,,,2023-05-22 11:19:58,2023-05-22 11:19:58,0.006s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-22 11:19:58,2023-05-22 11:19:59,0.161s,PASSED
fis = new java.io.FileInputStream(C://ELL//Automation//Excel//DataBase Selection.xlsx),Chrome 113.0.0.0,,,2023-05-22 11:19:59,2023-05-22 11:19:59,0.019s,PASSED
k = 1,Chrome 113.0.0.0,,,2023-05-22 11:19:59,2023-05-22 11:19:59,0.002s,PASSED
wb = new org.apache.poi.xssf.usermodel.XSSFWorkbook(fis),Chrome 113.0.0.0,,,2023-05-22 11:19:59,2023-05-22 11:19:59,0.210s,PASSED
