Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase-1-Lot,Chrome 113.0.0.0,,,2023-05-17 19:40:36,2023-05-17 19:49:41,9m - 4.568s,FAILED
,,,,,,,
Test Cases/Login_Select Database,Chrome 113.0.0.0,,,2023-05-17 19:40:37,2023-05-17 19:41:02,24.791s,PASSED
"openBrowser(""https://test.lablogs.co/#/login"")",Chrome 113.0.0.0,,,2023-05-17 19:40:38,2023-05-17 19:40:49,10.533s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-17 19:40:49,2023-05-17 19:40:49,0.191s,PASSED
"setText(findTestObject(""Login_SelectDatabase/input_Sign in to your account_ng-untouched _b61fc2""), findTestData(""Login"").getValue(""UserName"", 1))",Chrome 113.0.0.0,,,2023-05-17 19:40:49,2023-05-17 19:40:52,2.853s,PASSED
"setEncryptedText(findTestObject(""Login_SelectDatabase/input_Email_ng-touched ng-dirty ng-valid""), findTestData(""Login"").getValue(""Password"", 1))",Chrome 113.0.0.0,,,2023-05-17 19:40:52,2023-05-17 19:40:53,0.962s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_SIGN IN""))",Chrome 113.0.0.0,,,2023-05-17 19:40:53,2023-05-17 19:40:54,0.773s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-17 19:40:54,2023-05-17 19:40:59,5.087s,PASSED
d = getWebDriver(),Chrome 113.0.0.0,,,2023-05-17 19:40:59,2023-05-17 19:40:59,0.012s,PASSED
"b = d.findElements(By.xpath(""//p[@class='card-text mb-0']""))",Chrome 113.0.0.0,,,2023-05-17 19:40:59,2023-05-17 19:40:59,0.388s,PASSED
r = b.size(),Chrome 113.0.0.0,,,2023-05-17 19:40:59,2023-05-17 19:40:59,0.001s,PASSED
println(r),Chrome 113.0.0.0,,,2023-05-17 19:40:59,2023-05-17 19:40:59,0.007s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-17 19:40:59,2023-05-17 19:40:59,0.181s,PASSED
fis = new java.io.FileInputStream(C://ELL//Automation//Excel//DataBase Selection.xlsx),Chrome 113.0.0.0,,,2023-05-17 19:40:59,2023-05-17 19:40:59,0.024s,PASSED
k = 1,Chrome 113.0.0.0,,,2023-05-17 19:40:59,2023-05-17 19:40:59,0.000s,PASSED
