Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase-1-Lot,Chrome 113.0.0.0,,,2023-05-23 18:06:54,2023-05-23 18:16:59,10m - 4.057s,PASSED
,,,,,,,
Test Cases/Login_Select Database,Chrome 113.0.0.0,,,2023-05-23 18:06:55,2023-05-23 18:07:21,25.940s,PASSED
"openBrowser(""https://test.lablogs.co/#/login"")",Chrome 113.0.0.0,,,2023-05-23 18:06:57,2023-05-23 18:07:07,9.995s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-23 18:07:07,2023-05-23 18:07:07,0.277s,PASSED
"setText(findTestObject(""Login_SelectDatabase/input_Sign in to your account_ng-untouched _b61fc2""), findTestData(""Login"").getValue(""UserName"", 1))",Chrome 113.0.0.0,,,2023-05-23 18:07:07,2023-05-23 18:07:11,4.224s,PASSED
"setEncryptedText(findTestObject(""Login_SelectDatabase/input_Email_ng-touched ng-dirty ng-valid""), findTestData(""Login"").getValue(""Password"", 1))",Chrome 113.0.0.0,,,2023-05-23 18:07:11,2023-05-23 18:07:12,1.246s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_SIGN IN""))",Chrome 113.0.0.0,,,2023-05-23 18:07:12,2023-05-23 18:07:13,0.915s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-23 18:07:13,2023-05-23 18:07:18,5.072s,PASSED
d = getWebDriver(),Chrome 113.0.0.0,,,2023-05-23 18:07:18,2023-05-23 18:07:18,0.027s,PASSED
"b = d.findElements(By.xpath(""//p[@class='card-text mb-0']""))",Chrome 113.0.0.0,,,2023-05-23 18:07:18,2023-05-23 18:07:19,0.431s,PASSED
r = b.size(),Chrome 113.0.0.0,,,2023-05-23 18:07:19,2023-05-23 18:07:19,0.002s,PASSED
println(r),Chrome 113.0.0.0,,,2023-05-23 18:07:19,2023-05-23 18:07:19,0.006s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-23 18:07:19,2023-05-23 18:07:19,0.254s,PASSED
fis = new java.io.FileInputStream(C://ELL//Automation//Excel//DataBase Selection.xlsx),Chrome 113.0.0.0,,,2023-05-23 18:07:19,2023-05-23 18:07:19,0.028s,PASSED
k = 1,Chrome 113.0.0.0,,,2023-05-23 18:07:19,2023-05-23 18:07:19,0.001s,PASSED
wb = new org.apache.poi.xssf.usermodel.XSSFWorkbook(fis),Chrome 113.0.0.0,,,2023-05-23 18:07:19,2023-05-23 18:07:19,0.197s,PASSED
"s = wb.getSheet(""Select Database"")",Chrome 113.0.0.0,,,2023-05-23 18:07:19,2023-05-23 18:07:19,0.002s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-23 18:07:19,2023-05-23 18:07:20,0.301s,PASSED
fos = new java.io.FileOutputStream(C://ELL//Automation//Excel//DataBase Selection.xlsx),Chrome 113.0.0.0,,,2023-05-23 18:07:20,2023-05-23 18:07:20,0.013s,PASSED
wb.write(fos),Chrome 113.0.0.0,,,2023-05-23 18:07:20,2023-05-23 18:07:20,0.220s,PASSED
"P1 = findTestData(""Select_Database"").getValue(""Database"", 1)",Chrome 113.0.0.0,,,2023-05-23 18:07:20,2023-05-23 18:07:20,0.163s,PASSED
out.println(P1),Chrome 113.0.0.0,,,2023-05-23 18:07:20,2023-05-23 18:07:20,0.001s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-23 18:07:20,2023-05-23 18:07:20,0.237s,PASSED
"out.print(""good"")",Chrome 113.0.0.0,,,2023-05-23 18:07:20,2023-05-23 18:07:20,0.005s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_Use Selected Database""))",Chrome 113.0.0.0,,,2023-05-23 18:07:20,2023-05-23 18:07:21,0.673s,PASSED
,,,,,,,
Test Cases/Site creation - Suite,Chrome 113.0.0.0,,,2023-05-23 18:07:21,2023-05-23 18:08:32,1m - 10.521s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-23 18:07:26,2023-05-23 18:07:31,5.008s,PASSED
"click(findTestObject(""ELL Menu/Select_MenuIcon""))",Chrome 113.0.0.0,,,2023-05-23 18:07:31,2023-05-23 18:07:31,0.710s,PASSED
"click(findTestObject(""ELL Menu/a_ADMINISTRATION""))",Chrome 113.0.0.0,,,2023-05-23 18:07:31,2023-05-23 18:07:32,0.877s,PASSED
