Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase-1-Lot,Chrome 113.0.0.0,,,2023-05-17 19:54:31,2023-05-17 20:04:11,9m - 39.997s,PASSED
,,,,,,,
Test Cases/Login_Select Database,Chrome 113.0.0.0,,,2023-05-17 19:54:32,2023-05-17 19:54:57,25.746s,PASSED
"openBrowser(""https://test.lablogs.co/#/login"")",Chrome 113.0.0.0,,,2023-05-17 19:54:33,2023-05-17 19:54:43,9.700s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-17 19:54:43,2023-05-17 19:54:43,0.204s,PASSED
"setText(findTestObject(""Login_SelectDatabase/input_Sign in to your account_ng-untouched _b61fc2""), findTestData(""Login"").getValue(""UserName"", 1))",Chrome 113.0.0.0,,,2023-05-17 19:54:43,2023-05-17 19:54:45,2.412s,PASSED
"setEncryptedText(findTestObject(""Login_SelectDatabase/input_Email_ng-touched ng-dirty ng-valid""), findTestData(""Login"").getValue(""Password"", 1))",Chrome 113.0.0.0,,,2023-05-17 19:54:45,2023-05-17 19:54:46,0.967s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_SIGN IN""))",Chrome 113.0.0.0,,,2023-05-17 19:54:46,2023-05-17 19:54:47,0.763s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-17 19:54:47,2023-05-17 19:54:52,5.060s,PASSED
d = getWebDriver(),Chrome 113.0.0.0,,,2023-05-17 19:54:52,2023-05-17 19:54:52,0.013s,PASSED
"b = d.findElements(By.xpath(""//p[@class='card-text mb-0']""))",Chrome 113.0.0.0,,,2023-05-17 19:54:52,2023-05-17 19:54:54,1.568s,PASSED
r = b.size(),Chrome 113.0.0.0,,,2023-05-17 19:54:54,2023-05-17 19:54:54,0.001s,PASSED
println(r),Chrome 113.0.0.0,,,2023-05-17 19:54:54,2023-05-17 19:54:54,0.005s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-17 19:54:54,2023-05-17 19:54:54,0.637s,PASSED
fis = new java.io.FileInputStream(C://ELL//Automation//Excel//DataBase Selection.xlsx),Chrome 113.0.0.0,,,2023-05-17 19:54:54,2023-05-17 19:54:55,0.038s,PASSED
k = 1,Chrome 113.0.0.0,,,2023-05-17 19:54:55,2023-05-17 19:54:55,0.000s,PASSED
wb = new org.apache.poi.xssf.usermodel.XSSFWorkbook(fis),Chrome 113.0.0.0,,,2023-05-17 19:54:55,2023-05-17 19:54:55,0.323s,PASSED
"s = wb.getSheet(""Select Database"")",Chrome 113.0.0.0,,,2023-05-17 19:54:55,2023-05-17 19:54:55,0.005s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-17 19:54:55,2023-05-17 19:54:55,0.499s,PASSED
fos = new java.io.FileOutputStream(C://ELL//Automation//Excel//DataBase Selection.xlsx),Chrome 113.0.0.0,,,2023-05-17 19:54:55,2023-05-17 19:54:55,0.010s,PASSED
wb.write(fos),Chrome 113.0.0.0,,,2023-05-17 19:54:55,2023-05-17 19:54:56,0.278s,PASSED
"P1 = findTestData(""Select_Database"").getValue(""Database"", 1)",Chrome 113.0.0.0,,,2023-05-17 19:54:56,2023-05-17 19:54:56,0.299s,PASSED
out.println(P1),Chrome 113.0.0.0,,,2023-05-17 19:54:56,2023-05-17 19:54:56,0.000s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-17 19:54:56,2023-05-17 19:54:57,0.832s,PASSED
"out.print(""good"")",Chrome 113.0.0.0,,,2023-05-17 19:54:57,2023-05-17 19:54:57,0.005s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_Use Selected Database""))",Chrome 113.0.0.0,,,2023-05-17 19:54:57,2023-05-17 19:54:57,0.562s,PASSED
,,,,,,,
Test Cases/Site creation - Suite,Chrome 113.0.0.0,,,2023-05-17 19:54:57,2023-05-17 19:56:21,1m - 23.153s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-17 19:55:00,2023-05-17 19:55:05,5.004s,PASSED
"click(findTestObject(""ELL Menu/Select_MenuIcon""))",Chrome 113.0.0.0,,,2023-05-17 19:55:05,2023-05-17 19:55:17,11.381s,PASSED
"click(findTestObject(""ELL Menu/a_ADMINISTRATION""))",Chrome 113.0.0.0,,,2023-05-17 19:55:17,2023-05-17 19:55:18,0.901s,PASSED
