Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase-1-Lot,Chrome 113.0.0.0,,,2023-05-18 11:08:08,2023-05-18 11:18:06,9m - 57.675s,PASSED
,,,,,,,
Test Cases/Login_Select Database,Chrome 113.0.0.0,,,2023-05-18 11:08:09,2023-05-18 11:08:41,31.775s,PASSED
"openBrowser(""https://test.lablogs.co/#/login"")",Chrome 113.0.0.0,,,2023-05-18 11:08:12,2023-05-18 11:08:27,14.963s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-18 11:08:27,2023-05-18 11:08:27,0.292s,PASSED
"setText(findTestObject(""Login_SelectDatabase/input_Sign in to your account_ng-untouched _b61fc2""), findTestData(""Login"").getValue(""UserName"", 1))",Chrome 113.0.0.0,,,2023-05-18 11:08:27,2023-05-18 11:08:31,3.775s,PASSED
"setEncryptedText(findTestObject(""Login_SelectDatabase/input_Email_ng-touched ng-dirty ng-valid""), findTestData(""Login"").getValue(""Password"", 1))",Chrome 113.0.0.0,,,2023-05-18 11:08:31,2023-05-18 11:08:32,0.906s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_SIGN IN""))",Chrome 113.0.0.0,,,2023-05-18 11:08:32,2023-05-18 11:08:33,0.780s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-18 11:08:33,2023-05-18 11:08:38,5.070s,PASSED
d = getWebDriver(),Chrome 113.0.0.0,,,2023-05-18 11:08:38,2023-05-18 11:08:38,0.026s,PASSED
"b = d.findElements(By.xpath(""//p[@class='card-text mb-0']""))",Chrome 113.0.0.0,,,2023-05-18 11:08:38,2023-05-18 11:08:39,1.027s,PASSED
r = b.size(),Chrome 113.0.0.0,,,2023-05-18 11:08:39,2023-05-18 11:08:39,0.002s,PASSED
println(r),Chrome 113.0.0.0,,,2023-05-18 11:08:39,2023-05-18 11:08:39,0.005s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-18 11:08:39,2023-05-18 11:08:39,0.210s,PASSED
fis = new java.io.FileInputStream(C://ELL//Automation//Excel//DataBase Selection.xlsx),Chrome 113.0.0.0,,,2023-05-18 11:08:39,2023-05-18 11:08:39,0.036s,PASSED
k = 1,Chrome 113.0.0.0,,,2023-05-18 11:08:39,2023-05-18 11:08:39,0.002s,PASSED
wb = new org.apache.poi.xssf.usermodel.XSSFWorkbook(fis),Chrome 113.0.0.0,,,2023-05-18 11:08:39,2023-05-18 11:08:39,0.264s,PASSED
"s = wb.getSheet(""Select Database"")",Chrome 113.0.0.0,,,2023-05-18 11:08:39,2023-05-18 11:08:39,0.002s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-18 11:08:39,2023-05-18 11:08:40,0.430s,PASSED
fos = new java.io.FileOutputStream(C://ELL//Automation//Excel//DataBase Selection.xlsx),Chrome 113.0.0.0,,,2023-05-18 11:08:40,2023-05-18 11:08:40,0.016s,PASSED
wb.write(fos),Chrome 113.0.0.0,,,2023-05-18 11:08:40,2023-05-18 11:08:40,0.328s,PASSED
"P1 = findTestData(""Select_Database"").getValue(""Database"", 1)",Chrome 113.0.0.0,,,2023-05-18 11:08:40,2023-05-18 11:08:40,0.082s,PASSED
out.println(P1),Chrome 113.0.0.0,,,2023-05-18 11:08:40,2023-05-18 11:08:40,0.001s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-18 11:08:40,2023-05-18 11:08:40,0.297s,PASSED
"out.print(""good"")",Chrome 113.0.0.0,,,2023-05-18 11:08:40,2023-05-18 11:08:40,0.004s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_Use Selected Database""))",Chrome 113.0.0.0,,,2023-05-18 11:08:40,2023-05-18 11:08:41,0.643s,PASSED
,,,,,,,
Test Cases/Site creation - Suite,Chrome 113.0.0.0,,,2023-05-18 11:08:41,2023-05-18 11:10:19,1m - 37.788s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-18 11:08:44,2023-05-18 11:08:49,5.022s,PASSED
"click(findTestObject(""ELL Menu/Select_MenuIcon""))",Chrome 113.0.0.0,,,2023-05-18 11:08:49,2023-05-18 11:08:51,1.927s,PASSED
"click(findTestObject(""ELL Menu/a_ADMINISTRATION""))",Chrome 113.0.0.0,,,2023-05-18 11:08:51,2023-05-18 11:08:52,1.076s,PASSED
"click(findTestObject(""Site creation/button_Add Site""))",Chrome 113.0.0.0,,,2023-05-18 11:08:52,2023-05-18 11:08:54,1.821s,PASSED
"click(findTestObject(""Site creation/input_Site Name""))",Chrome 113.0.0.0,,,2023-05-18 11:08:54,2023-05-18 11:08:56,1.372s,PASSED
dateFormat = new java.text.SimpleDateFormat(yyyy/dd/MM HH:mm:ss),Chrome 113.0.0.0,,,2023-05-18 11:08:56,2023-05-18 11:08:56,0.030s,PASSED
date = new java.util.Date(),Chrome 113.0.0.0,,,2023-05-18 11:08:56,2023-05-18 11:08:56,0.014s,PASSED
a = dateFormat.format(date),Chrome 113.0.0.0,,,2023-05-18 11:08:56,2023-05-18 11:08:56,0.002s,PASSED
println(a),Chrome 113.0.0.0,,,2023-05-18 11:08:56,2023-05-18 11:08:56,0.001s,PASSED
"b = "" - """,Chrome 113.0.0.0,,,2023-05-18 11:08:56,2023-05-18 11:08:56,0.001s,PASSED
"Site = findTestData(""Site Data"").getValue(""Site Name"", 1) + b + a",Chrome 113.0.0.0,,,2023-05-18 11:08:56,2023-05-18 11:08:56,0.112s,PASSED
println(Site),Chrome 113.0.0.0,,,2023-05-18 11:08:56,2023-05-18 11:08:56,0.001s,PASSED
logInfo(Site),Chrome 113.0.0.0,,,2023-05-18 11:08:56,2023-05-18 11:08:56,0.025s,PASSED
"Excel.writeData(""ELL_Departments & Units"", ""Add D&U"", 1, 1, Site)",Chrome 113.0.0.0,,,2023-05-18 11:08:56,2023-05-18 11:08:56,0.311s,PASSED
"setText(findTestObject(""Site creation/input_Site Name""), Site)",Chrome 113.0.0.0,,,2023-05-18 11:08:56,2023-05-18 11:08:57,0.883s,PASSED
"s1 = getAttribute(findTestObject(""Site creation/input_Site Name""), ""value"")",Chrome 113.0.0.0,,,2023-05-18 11:08:57,2023-05-18 11:08:57,0.402s,PASSED
println(s1),Chrome 113.0.0.0,,,2023-05-18 11:08:57,2023-05-18 11:08:57,0.001s,PASSED
"verifyEqual(Site, s1)",Chrome 113.0.0.0,,,2023-05-18 11:08:57,2023-05-18 11:08:57,0.024s,PASSED
"A1 = findTestData(""Site Data"").getValue(""Address"", 1)",Chrome 113.0.0.0,,,2023-05-18 11:08:57,2023-05-18 11:08:57,0.064s,PASSED
"setText(findTestObject(""Site creation/input_Address""), A1)",Chrome 113.0.0.0,,,2023-05-18 11:08:57,2023-05-18 11:08:58,0.859s,PASSED
"A2 = getAttribute(findTestObject(""Site creation/input_Address""), ""value"")",Chrome 113.0.0.0,,,2023-05-18 11:08:58,2023-05-18 11:08:59,0.389s,PASSED
println(A2),Chrome 113.0.0.0,,,2023-05-18 11:08:59,2023-05-18 11:08:59,0.001s,PASSED
"verifyEqual(A1, A2)",Chrome 113.0.0.0,,,2023-05-18 11:08:59,2023-05-18 11:08:59,0.003s,PASSED
"c1 = findTestData(""Site Data"").getValue(""City"", 1)",Chrome 113.0.0.0,,,2023-05-18 11:08:59,2023-05-18 11:08:59,0.059s,PASSED
"setText(findTestObject(""Site creation/input_City_city""), c1)",Chrome 113.0.0.0,,,2023-05-18 11:08:59,2023-05-18 11:09:00,1.010s,PASSED
"c2 = getAttribute(findTestObject(""Site creation/input_City_city""), ""value"")",Chrome 113.0.0.0,,,2023-05-18 11:09:00,2023-05-18 11:09:00,0.500s,PASSED
"verifyEqual(c1, c2)",Chrome 113.0.0.0,,,2023-05-18 11:09:00,2023-05-18 11:09:00,0.004s,PASSED
"S5 = findTestData(""Site Data"").getValue(""State"", 1)",Chrome 113.0.0.0,,,2023-05-18 11:09:00,2023-05-18 11:09:00,0.054s,PASSED
"setText(findTestObject(""Site creation/input_State_state""), S5)",Chrome 113.0.0.0,,,2023-05-18 11:09:00,2023-05-18 11:09:01,0.862s,PASSED
"S6 = getAttribute(findTestObject(""Site creation/input_State_state""), ""value"")",Chrome 113.0.0.0,,,2023-05-18 11:09:01,2023-05-18 11:09:02,0.404s,PASSED
"verifyEqual(S5, S6)",Chrome 113.0.0.0,,,2023-05-18 11:09:02,2023-05-18 11:09:02,0.003s,PASSED
"z1 = findTestData(""Site Data"").getValue(""Zip"", 1)",Chrome 113.0.0.0,,,2023-05-18 11:09:02,2023-05-18 11:09:02,0.111s,PASSED
"setText(findTestObject(""Site creation/input_Zip_zip""), z1)",Chrome 113.0.0.0,,,2023-05-18 11:09:02,2023-05-18 11:09:03,1.479s,PASSED
"z2 = getAttribute(findTestObject(""Site creation/input_Zip_zip""), ""value"")",Chrome 113.0.0.0,,,2023-05-18 11:09:03,2023-05-18 11:09:04,0.498s,PASSED
"verifyEqual(z1, z2)",Chrome 113.0.0.0,,,2023-05-18 11:09:04,2023-05-18 11:09:04,0.003s,PASSED
"selectOptionByLabel(findTestObject(""Site creation/select_country""), findTestData(""Site Data"").getValue(""Country"", 1), true)",Chrome 113.0.0.0,,,2023-05-18 11:09:04,2023-05-18 11:09:12,8.470s,PASSED
"verifyOptionPresentByLabel(findTestObject(""Site creation/select_country""), findTestData(""Site Data"").getValue(""Country"", 1), false, 0)",Chrome 113.0.0.0,,,2023-05-18 11:09:12,2023-05-18 11:09:16,3.525s,PASSED
"setText(findTestObject(""Site creation/input_Phone_phone""), findTestData(""Site Data"").getValue(""Phone"", 1))",Chrome 113.0.0.0,,,2023-05-18 11:09:16,2023-05-18 11:09:17,0.869s,PASSED
"selectOptionByLabel(findTestObject(""Site creation/select_Timezone""), findTestData(""Site Data"").getValue(""Timezone"", 1), true)",Chrome 113.0.0.0,,,2023-05-18 11:09:17,2023-05-18 11:09:35,18.113s,PASSED
