Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase-1-Lot,Chrome 113.0.0.0,,,2023-05-23 18:04:16,2023-05-23 18:05:54,1m - 38.082s,PASSED
,,,,,,,
Test Cases/Site creation,Chrome 113.0.0.0,,,2023-05-23 18:04:17,2023-05-23 18:05:54,1m - 37.423s,PASSED
"openBrowser(findTestData(""Login"").getValue(""URL"", 1))",Chrome 113.0.0.0,,,2023-05-23 18:04:19,2023-05-23 18:04:31,12.346s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-23 18:04:31,2023-05-23 18:04:31,0.211s,PASSED
"setText(findTestObject(""Login_SelectDatabase/input_Sign in to your account_ng-untouched _b61fc2""), findTestData(""Login"").getValue(""UserName"", 1))",Chrome 113.0.0.0,,,2023-05-23 18:04:31,2023-05-23 18:04:33,1.315s,PASSED
"setEncryptedText(findTestObject(""Login_SelectDatabase/input_Email_ng-touched ng-dirty ng-valid""), findTestData(""Login"").getValue(""Password"", 1))",Chrome 113.0.0.0,,,2023-05-23 18:04:33,2023-05-23 18:04:34,0.815s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_SIGN IN""))",Chrome 113.0.0.0,,,2023-05-23 18:04:34,2023-05-23 18:04:34,0.877s,PASSED
"click(findTestObject(""Site creation/div_QA Automation""))",Chrome 113.0.0.0,,,2023-05-23 18:04:34,2023-05-23 18:04:41,6.254s,PASSED
"click(findTestObject(""Site creation/button_Use Selected Database""))",Chrome 113.0.0.0,,,2023-05-23 18:04:41,2023-05-23 18:04:41,0.482s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-23 18:04:41,2023-05-23 18:04:46,5.108s,PASSED
"click(findTestObject(""ELL Menu/Select_MenuIcon""))",Chrome 113.0.0.0,,,2023-05-23 18:04:46,2023-05-23 18:04:49,2.334s,PASSED
"click(findTestObject(""ELL Menu/a_ADMINISTRATION""))",Chrome 113.0.0.0,,,2023-05-23 18:04:49,2023-05-23 18:04:49,0.855s,PASSED
"click(findTestObject(""Site creation/button_Add Site""))",Chrome 113.0.0.0,,,2023-05-23 18:04:49,2023-05-23 18:04:51,1.411s,PASSED
"click(findTestObject(""Site creation/input_Site Name""))",Chrome 113.0.0.0,,,2023-05-23 18:04:51,2023-05-23 18:04:53,1.758s,PASSED
dateFormat = new java.text.SimpleDateFormat(yyyy/dd/MM HH:mm:ss),Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.043s,PASSED
date = new java.util.Date(),Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.015s,PASSED
a = dateFormat.format(date),Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.010s,PASSED
println(a),Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.010s,PASSED
"b = "" - """,Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.000s,PASSED
"Site = findTestData(""Site Data"").getValue(""Site Name"", 1) + b + a",Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.102s,PASSED
println(Site),Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.001s,PASSED
logInfo(Site),Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.023s,PASSED
file = new java.io.File(.//Excel//ELL_Departments & Units.xlsx),Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.001s,PASSED
stream = new java.io.FileInputStream(file),Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.026s,PASSED
workbook = new org.apache.poi.xssf.usermodel.XSSFWorkbook(stream),Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.299s,PASSED
"sheet = workbook.getSheet(""Add D&U"")",Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.019s,PASSED
row = sheet.getRow(1),Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.077s,PASSED
cell = row.createCell(1),Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.030s,PASSED
cell.setCellValue(Site),Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.063s,PASSED
outputStream = new java.io.FileOutputStream(.//Excel//ELL_Departments & Units.xlsx),Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:53,0.032s,PASSED
workbook.write(outputStream),Chrome 113.0.0.0,,,2023-05-23 18:04:53,2023-05-23 18:04:54,0.260s,PASSED
