Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
println(s1),Chrome 113.0.0.0,,,2023-05-22 13:13:33,2023-05-22 13:13:33,0.001s,PASSED
"verifyEqual(Site, s1)",Chrome 113.0.0.0,,,2023-05-22 13:13:33,2023-05-22 13:13:33,0.020s,PASSED
"A1 = findTestData(""Site Data"").getValue(""Address"", 1)",Chrome 113.0.0.0,,,2023-05-22 13:13:33,2023-05-22 13:13:33,0.064s,PASSED
"setText(findTestObject(""Site creation/input_Address""), A1)",Chrome 113.0.0.0,,,2023-05-22 13:13:33,2023-05-22 13:13:34,0.926s,PASSED
"A2 = getAttribute(findTestObject(""Site creation/input_Address""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:13:34,2023-05-22 13:13:34,0.395s,PASSED
println(A2),Chrome 113.0.0.0,,,2023-05-22 13:13:34,2023-05-22 13:13:34,0.001s,PASSED
"verifyEqual(A1, A2)",Chrome 113.0.0.0,,,2023-05-22 13:13:34,2023-05-22 13:13:34,0.004s,PASSED
"c1 = findTestData(""Site Data"").getValue(""City"", 1)",Chrome 113.0.0.0,,,2023-05-22 13:13:34,2023-05-22 13:13:34,0.081s,PASSED
"setText(findTestObject(""Site creation/input_City_city""), c1)",Chrome 113.0.0.0,,,2023-05-22 13:13:34,2023-05-22 13:13:35,0.838s,PASSED
"c2 = getAttribute(findTestObject(""Site creation/input_City_city""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:13:35,2023-05-22 13:13:36,0.382s,PASSED
"verifyEqual(c1, c2)",Chrome 113.0.0.0,,,2023-05-22 13:13:36,2023-05-22 13:13:36,0.003s,PASSED
"S5 = findTestData(""Site Data"").getValue(""State"", 1)",Chrome 113.0.0.0,,,2023-05-22 13:13:36,2023-05-22 13:13:36,0.050s,PASSED
"setText(findTestObject(""Site creation/input_State_state""), S5)",Chrome 113.0.0.0,,,2023-05-22 13:13:36,2023-05-22 13:13:36,0.832s,PASSED
"S6 = getAttribute(findTestObject(""Site creation/input_State_state""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:13:36,2023-05-22 13:13:37,0.383s,PASSED
"verifyEqual(S5, S6)",Chrome 113.0.0.0,,,2023-05-22 13:13:37,2023-05-22 13:13:37,0.003s,PASSED
"z1 = findTestData(""Site Data"").getValue(""Zip"", 1)",Chrome 113.0.0.0,,,2023-05-22 13:13:37,2023-05-22 13:13:37,0.100s,PASSED
"setText(findTestObject(""Site creation/input_Zip_zip""), z1)",Chrome 113.0.0.0,,,2023-05-22 13:13:37,2023-05-22 13:13:38,0.990s,PASSED
"z2 = getAttribute(findTestObject(""Site creation/input_Zip_zip""), ""value"")",Chrome 113.0.0.0,,,2023-05-22 13:13:38,2023-05-22 13:13:38,0.412s,PASSED
"verifyEqual(z1, z2)",Chrome 113.0.0.0,,,2023-05-22 13:13:38,2023-05-22 13:13:38,0.003s,PASSED
"selectOptionByLabel(findTestObject(""Site creation/select_country""), findTestData(""Site Data"").getValue(""Country"", 1), true)",Chrome 113.0.0.0,,,2023-05-22 13:13:38,2023-05-22 13:13:46,7.326s,PASSED
"verifyOptionPresentByLabel(findTestObject(""Site creation/select_country""), findTestData(""Site Data"").getValue(""Country"", 1), false, 0)",Chrome 113.0.0.0,,,2023-05-22 13:13:46,2023-05-22 13:13:49,3.295s,PASSED
"setText(findTestObject(""Site creation/input_Phone_phone""), findTestData(""Site Data"").getValue(""Phone"", 1))",Chrome 113.0.0.0,,,2023-05-22 13:13:49,2023-05-22 13:13:50,0.895s,PASSED
"selectOptionByLabel(findTestObject(""Site creation/select_Timezone""), findTestData(""Site Data"").getValue(""Timezone"", 1), true)",Chrome 113.0.0.0,,,2023-05-22 13:13:50,2023-05-22 13:14:07,17.335s,PASSED
"verifyOptionPresentByLabel(findTestObject(""Site creation/select_Timezone""), findTestData(""Site Data"").getValue(""Timezone"", 1), false, 0)",Chrome 113.0.0.0,,,2023-05-22 13:14:07,2023-05-22 13:14:15,7.831s,PASSED
"click(findTestObject(""Site creation/input_system_Schedule""))",Chrome 113.0.0.0,,,2023-05-22 13:14:15,2023-05-22 13:14:16,0.505s,PASSED
"click(findTestObject(""Site creation/SA_ON""))",Chrome 113.0.0.0,,,2023-05-22 13:14:16,2023-05-22 13:14:16,0.597s,PASSED
"click(findTestObject(""Site creation/SU_ON""))",Chrome 113.0.0.0,,,2023-05-22 13:14:16,2023-05-22 13:14:17,0.682s,PASSED
"click(findTestObject(""Site creation/button_Save""))",Chrome 113.0.0.0,,,2023-05-22 13:14:17,2023-05-22 13:14:18,1.013s,PASSED
"verifyElementPresent(findTestObject(""Site creation/div_Success  Site added successfully""), 0)",Chrome 113.0.0.0,,,2023-05-22 13:14:18,2023-05-22 13:14:21,3.031s,PASSED
"c = getText(findTestObject(""Site creation/div_Success  Site added successfully""))",Chrome 113.0.0.0,,,2023-05-22 13:14:21,2023-05-22 13:14:21,0.433s,PASSED
println(c),Chrome 113.0.0.0,,,2023-05-22 13:14:21,2023-05-22 13:14:21,0.001s,PASSED
logInfo(c),Chrome 113.0.0.0,,,2023-05-22 13:14:21,2023-05-22 13:14:21,0.001s,PASSED
