Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Phase-1-Lot,Chrome 113.0.0.0,,,2023-05-23 16:53:31,2023-05-23 17:02:19,8m - 47.224s,PASSED
,,,,,,,
Test Cases/Login_Select Database,Chrome 113.0.0.0,,,2023-05-23 16:53:32,2023-05-23 16:53:57,25.095s,PASSED
"openBrowser(""https://test.lablogs.co/#/login"")",Chrome 113.0.0.0,,,2023-05-23 16:53:34,2023-05-23 16:53:45,11.148s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-23 16:53:45,2023-05-23 16:53:45,0.195s,PASSED
"setText(findTestObject(""Login_SelectDatabase/input_Sign in to your account_ng-untouched _b61fc2""), findTestData(""Login"").getValue(""UserName"", 1))",Chrome 113.0.0.0,,,2023-05-23 16:53:45,2023-05-23 16:53:48,2.757s,PASSED
"setEncryptedText(findTestObject(""Login_SelectDatabase/input_Email_ng-touched ng-dirty ng-valid""), findTestData(""Login"").getValue(""Password"", 1))",Chrome 113.0.0.0,,,2023-05-23 16:53:48,2023-05-23 16:53:49,1.031s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_SIGN IN""))",Chrome 113.0.0.0,,,2023-05-23 16:53:49,2023-05-23 16:53:50,0.853s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-23 16:53:50,2023-05-23 16:53:55,5.063s,PASSED
d = getWebDriver(),Chrome 113.0.0.0,,,2023-05-23 16:53:55,2023-05-23 16:53:55,0.025s,PASSED
"b = d.findElements(By.xpath(""//p[@class='card-text mb-0']""))",Chrome 113.0.0.0,,,2023-05-23 16:53:55,2023-05-23 16:53:55,0.317s,PASSED
r = b.size(),Chrome 113.0.0.0,,,2023-05-23 16:53:55,2023-05-23 16:53:55,0.002s,PASSED
println(r),Chrome 113.0.0.0,,,2023-05-23 16:53:55,2023-05-23 16:53:55,0.005s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-23 16:53:55,2023-05-23 16:53:55,0.123s,PASSED
fis = new java.io.FileInputStream(C://ELL//Automation//Excel//DataBase Selection.xlsx),Chrome 113.0.0.0,,,2023-05-23 16:53:55,2023-05-23 16:53:55,0.016s,PASSED
k = 1,Chrome 113.0.0.0,,,2023-05-23 16:53:55,2023-05-23 16:53:55,0.002s,PASSED
wb = new org.apache.poi.xssf.usermodel.XSSFWorkbook(fis),Chrome 113.0.0.0,,,2023-05-23 16:53:55,2023-05-23 16:53:55,0.152s,PASSED
"s = wb.getSheet(""Select Database"")",Chrome 113.0.0.0,,,2023-05-23 16:53:55,2023-05-23 16:53:55,0.002s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-23 16:53:55,2023-05-23 16:53:56,0.248s,PASSED
fos = new java.io.FileOutputStream(C://ELL//Automation//Excel//DataBase Selection.xlsx),Chrome 113.0.0.0,,,2023-05-23 16:53:56,2023-05-23 16:53:56,0.014s,PASSED
wb.write(fos),Chrome 113.0.0.0,,,2023-05-23 16:53:56,2023-05-23 16:53:56,0.201s,PASSED
"P1 = findTestData(""Select_Database"").getValue(""Database"", 1)",Chrome 113.0.0.0,,,2023-05-23 16:53:56,2023-05-23 16:53:56,0.239s,PASSED
out.println(P1),Chrome 113.0.0.0,,,2023-05-23 16:53:56,2023-05-23 16:53:56,0.001s,PASSED
"for ([i = 0, i < b.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-23 16:53:56,2023-05-23 16:53:56,0.279s,PASSED
"out.print(""good"")",Chrome 113.0.0.0,,,2023-05-23 16:53:56,2023-05-23 16:53:56,0.005s,PASSED
"click(findTestObject(""Login_SelectDatabase/button_Use Selected Database""))",Chrome 113.0.0.0,,,2023-05-23 16:53:56,2023-05-23 16:53:57,0.780s,PASSED
,,,,,,,
Test Cases/Site creation - Suite,Chrome 113.0.0.0,,,2023-05-23 16:53:57,2023-05-23 16:55:06,1m - 9.229s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-23 16:54:01,2023-05-23 16:54:06,5.012s,PASSED
"click(findTestObject(""ELL Menu/Select_MenuIcon""))",Chrome 113.0.0.0,,,2023-05-23 16:54:06,2023-05-23 16:54:06,0.456s,PASSED
"click(findTestObject(""ELL Menu/a_ADMINISTRATION""))",Chrome 113.0.0.0,,,2023-05-23 16:54:06,2023-05-23 16:54:07,0.889s,PASSED
"click(findTestObject(""Site creation/button_Add Site""))",Chrome 113.0.0.0,,,2023-05-23 16:54:07,2023-05-23 16:54:09,1.557s,PASSED
"click(findTestObject(""Site creation/input_Site Name""))",Chrome 113.0.0.0,,,2023-05-23 16:54:09,2023-05-23 16:54:09,0.624s,PASSED
dateFormat = new java.text.SimpleDateFormat(yyyy/dd/MM HH:mm:ss),Chrome 113.0.0.0,,,2023-05-23 16:54:09,2023-05-23 16:54:09,0.029s,PASSED
date = new java.util.Date(),Chrome 113.0.0.0,,,2023-05-23 16:54:09,2023-05-23 16:54:09,0.010s,PASSED
a = dateFormat.format(date),Chrome 113.0.0.0,,,2023-05-23 16:54:09,2023-05-23 16:54:09,0.003s,PASSED
println(a),Chrome 113.0.0.0,,,2023-05-23 16:54:09,2023-05-23 16:54:09,0.001s,PASSED
"b = "" - """,Chrome 113.0.0.0,,,2023-05-23 16:54:09,2023-05-23 16:54:09,0.000s,PASSED
"Site = findTestData(""Site Data"").getValue(""Site Name"", 1) + b + a",Chrome 113.0.0.0,,,2023-05-23 16:54:09,2023-05-23 16:54:09,0.071s,PASSED
println(Site),Chrome 113.0.0.0,,,2023-05-23 16:54:09,2023-05-23 16:54:09,0.001s,PASSED
logInfo(Site),Chrome 113.0.0.0,,,2023-05-23 16:54:09,2023-05-23 16:54:09,0.025s,PASSED
"Excel.writeData(""ELL_Departments & Units"", ""Add D&U"", 1, 1, Site)",Chrome 113.0.0.0,,,2023-05-23 16:54:09,2023-05-23 16:54:10,0.208s,PASSED
"setText(findTestObject(""Site creation/input_Site Name""), Site)",Chrome 113.0.0.0,,,2023-05-23 16:54:10,2023-05-23 16:54:11,0.956s,PASSED
"s1 = getAttribute(findTestObject(""Site creation/input_Site Name""), ""value"")",Chrome 113.0.0.0,,,2023-05-23 16:54:11,2023-05-23 16:54:11,0.408s,PASSED
println(s1),Chrome 113.0.0.0,,,2023-05-23 16:54:11,2023-05-23 16:54:11,0.001s,PASSED
"verifyEqual(Site, s1)",Chrome 113.0.0.0,,,2023-05-23 16:54:11,2023-05-23 16:54:11,0.018s,PASSED
"A1 = findTestData(""Site Data"").getValue(""Address"", 1)",Chrome 113.0.0.0,,,2023-05-23 16:54:11,2023-05-23 16:54:11,0.047s,PASSED
"setText(findTestObject(""Site creation/input_Address""), A1)",Chrome 113.0.0.0,,,2023-05-23 16:54:11,2023-05-23 16:54:12,0.887s,PASSED
"A2 = getAttribute(findTestObject(""Site creation/input_Address""), ""value"")",Chrome 113.0.0.0,,,2023-05-23 16:54:12,2023-05-23 16:54:12,0.382s,PASSED
println(A2),Chrome 113.0.0.0,,,2023-05-23 16:54:12,2023-05-23 16:54:12,0.000s,PASSED
"verifyEqual(A1, A2)",Chrome 113.0.0.0,,,2023-05-23 16:54:12,2023-05-23 16:54:12,0.003s,PASSED
"c1 = findTestData(""Site Data"").getValue(""City"", 1)",Chrome 113.0.0.0,,,2023-05-23 16:54:12,2023-05-23 16:54:12,0.044s,PASSED
"setText(findTestObject(""Site creation/input_City_city""), c1)",Chrome 113.0.0.0,,,2023-05-23 16:54:12,2023-05-23 16:54:13,0.837s,PASSED
"c2 = getAttribute(findTestObject(""Site creation/input_City_city""), ""value"")",Chrome 113.0.0.0,,,2023-05-23 16:54:13,2023-05-23 16:54:14,0.422s,PASSED
"verifyEqual(c1, c2)",Chrome 113.0.0.0,,,2023-05-23 16:54:14,2023-05-23 16:54:14,0.004s,PASSED
"S5 = findTestData(""Site Data"").getValue(""State"", 1)",Chrome 113.0.0.0,,,2023-05-23 16:54:14,2023-05-23 16:54:14,0.090s,PASSED
"setText(findTestObject(""Site creation/input_State_state""), S5)",Chrome 113.0.0.0,,,2023-05-23 16:54:14,2023-05-23 16:54:15,0.893s,PASSED
"S6 = getAttribute(findTestObject(""Site creation/input_State_state""), ""value"")",Chrome 113.0.0.0,,,2023-05-23 16:54:15,2023-05-23 16:54:15,0.400s,PASSED
"verifyEqual(S5, S6)",Chrome 113.0.0.0,,,2023-05-23 16:54:15,2023-05-23 16:54:15,0.004s,PASSED
"z1 = findTestData(""Site Data"").getValue(""Zip"", 1)",Chrome 113.0.0.0,,,2023-05-23 16:54:15,2023-05-23 16:54:15,0.072s,PASSED
"setText(findTestObject(""Site creation/input_Zip_zip""), z1)",Chrome 113.0.0.0,,,2023-05-23 16:54:15,2023-05-23 16:54:16,0.894s,PASSED
"z2 = getAttribute(findTestObject(""Site creation/input_Zip_zip""), ""value"")",Chrome 113.0.0.0,,,2023-05-23 16:54:16,2023-05-23 16:54:16,0.399s,PASSED
"verifyEqual(z1, z2)",Chrome 113.0.0.0,,,2023-05-23 16:54:16,2023-05-23 16:54:16,0.002s,PASSED
"selectOptionByLabel(findTestObject(""Site creation/select_country""), findTestData(""Site Data"").getValue(""Country"", 1), true)",Chrome 113.0.0.0,,,2023-05-23 16:54:16,2023-05-23 16:54:24,7.456s,PASSED
"verifyOptionPresentByLabel(findTestObject(""Site creation/select_country""), findTestData(""Site Data"").getValue(""Country"", 1), false, 0)",Chrome 113.0.0.0,,,2023-05-23 16:54:24,2023-05-23 16:54:27,3.321s,PASSED
"setText(findTestObject(""Site creation/input_Phone_phone""), findTestData(""Site Data"").getValue(""Phone"", 1))",Chrome 113.0.0.0,,,2023-05-23 16:54:27,2023-05-23 16:54:28,0.904s,PASSED
"selectOptionByLabel(findTestObject(""Site creation/select_Timezone""), findTestData(""Site Data"").getValue(""Timezone"", 1), true)",Chrome 113.0.0.0,,,2023-05-23 16:54:28,2023-05-23 16:54:45,16.896s,PASSED
"verifyOptionPresentByLabel(findTestObject(""Site creation/select_Timezone""), findTestData(""Site Data"").getValue(""Timezone"", 1), false, 0)",Chrome 113.0.0.0,,,2023-05-23 16:54:45,2023-05-23 16:54:52,7.072s,PASSED
"click(findTestObject(""Site creation/input_system_Schedule""))",Chrome 113.0.0.0,,,2023-05-23 16:54:52,2023-05-23 16:54:53,0.531s,PASSED
"click(findTestObject(""Site creation/SA_ON""))",Chrome 113.0.0.0,,,2023-05-23 16:54:53,2023-05-23 16:54:53,0.545s,PASSED
"click(findTestObject(""Site creation/SU_ON""))",Chrome 113.0.0.0,,,2023-05-23 16:54:53,2023-05-23 16:54:54,0.534s,PASSED
"click(findTestObject(""Site creation/button_Save""))",Chrome 113.0.0.0,,,2023-05-23 16:54:54,2023-05-23 16:54:54,0.557s,PASSED
"verifyElementPresent(findTestObject(""Site creation/div_Success  Site added successfully""), 0)",Chrome 113.0.0.0,,,2023-05-23 16:54:54,2023-05-23 16:54:57,2.900s,PASSED
"c = getText(findTestObject(""Site creation/div_Success  Site added successfully""))",Chrome 113.0.0.0,,,2023-05-23 16:54:57,2023-05-23 16:54:57,0.393s,PASSED
println(c),Chrome 113.0.0.0,,,2023-05-23 16:54:57,2023-05-23 16:54:57,0.001s,PASSED
logInfo(c),Chrome 113.0.0.0,,,2023-05-23 16:54:57,2023-05-23 16:54:57,0.002s,PASSED
"click(findTestObject(""Site creation/div_click""))",Chrome 113.0.0.0,,,2023-05-23 16:54:57,2023-05-23 16:54:58,0.459s,PASSED
driver = getWebDriver(),Chrome 113.0.0.0,,,2023-05-23 16:54:58,2023-05-23 16:54:58,0.000s,PASSED
executor = driver,Chrome 113.0.0.0,,,2023-05-23 16:54:58,2023-05-23 16:54:58,0.002s,PASSED
"li = driver.findElements(By.xpath(""//div[@class="" + ""'col']""))",Chrome 113.0.0.0,,,2023-05-23 16:54:58,2023-05-23 16:54:58,0.318s,PASSED
op = li.size(),Chrome 113.0.0.0,,,2023-05-23 16:54:58,2023-05-23 16:54:58,0.001s,PASSED
println(op),Chrome 113.0.0.0,,,2023-05-23 16:54:58,2023-05-23 16:54:58,0.001s,PASSED
"for ([i = 0, i < li.size(), (i++)])",Chrome 113.0.0.0,,,2023-05-23 16:54:58,2023-05-23 16:55:04,5.653s,PASSED
ScrollIntoCreatedSite.screenshot(),Chrome 113.0.0.0,,,2023-05-23 16:55:04,2023-05-23 16:55:06,2.393s,PASSED
,,,,,,,
Test Cases/Dept-Units creation - Suite,Chrome 113.0.0.0,,,2023-05-23 16:55:06,2023-05-23 16:56:19,1m - 12.510s,PASSED
driver = getWebDriver(),Chrome 113.0.0.0,,,2023-05-23 16:55:08,2023-05-23 16:55:08,0.000s,PASSED
actions = sendKeys(HOME).perform(),Chrome 113.0.0.0,,,2023-05-23 16:55:08,2023-05-23 16:55:08,0.028s,PASSED
"click(findTestObject(""Dept-User creation/Departments - Units""))",Chrome 113.0.0.0,,,2023-05-23 16:55:08,2023-05-23 16:55:09,0.742s,PASSED
"click(findTestObject(""Dept-User creation/button_Add Department""))",Chrome 113.0.0.0,,,2023-05-23 16:55:09,2023-05-23 16:55:11,1.658s,PASSED
dateFormat = new java.text.SimpleDateFormat(yyyy/dd/MM HH:mm:ss),Chrome 113.0.0.0,,,2023-05-23 16:55:11,2023-05-23 16:55:11,0.001s,PASSED
date = new java.util.Date(),Chrome 113.0.0.0,,,2023-05-23 16:55:11,2023-05-23 16:55:11,0.000s,PASSED
a = dateFormat.format(date),Chrome 113.0.0.0,,,2023-05-23 16:55:11,2023-05-23 16:55:11,0.001s,PASSED
println(a),Chrome 113.0.0.0,,,2023-05-23 16:55:11,2023-05-23 16:55:11,0.001s,PASSED
"b = "" - """,Chrome 113.0.0.0,,,2023-05-23 16:55:11,2023-05-23 16:55:11,0.000s,PASSED
"D = findTestData(""Dept_Unit Data"").getValue(""Department Name"", 1) + b + a",Chrome 113.0.0.0,,,2023-05-23 16:55:11,2023-05-23 16:55:11,0.088s,PASSED
"setText(findTestObject(""Dept-User creation/input_Department Name""), D)",Chrome 113.0.0.0,,,2023-05-23 16:55:11,2023-05-23 16:55:12,1.346s,PASSED
println(D),Chrome 113.0.0.0,,,2023-05-23 16:55:12,2023-05-23 16:55:12,0.001s,PASSED
logInfo(D),Chrome 113.0.0.0,,,2023-05-23 16:55:12,2023-05-23 16:55:12,0.000s,PASSED
